relative_path,phase5r_decision,legacy_reason,touch_categories,sensitivity,phase_tokens,phase0b_blocks_phase5r,phase0c_blocks_phase5r,preserve_as_evidence,delete_allowed,archive_after_approval,notes
01_universe/phase2b_candidate_source_log.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",risk_rules,MEDIUM,phase2b,no,no,yes,no,yes,
01_universe/phase2c_selected_candidates.csv,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2b;phase2c,no,no,yes,no,yes,
02_filings/sec_raw/ENPH_submissions.json,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase13ga;phase2017de;phase2017pr;phase2018de;phase2018pr;phase8,no,no,yes,no,yes,
03_research/agent_restructure_phase3c/current_structure_audit.md,LEGACY_QUARANTINE,Trade logs must be preserved as evidence and excluded from Phase 5R dependencies.,real_positions;trade_logs;email_drafts;weekly_reviews;risk_rules,HIGH,phase0;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c,yes,no,yes,no,yes,Preserve; do not delete or treat paper/real/journal files as interchangeable. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",real_positions;email_drafts;sec_alerts;weekly_reviews;risk_rules,HIGH,phase3;phase3b;phase3c;phase4;phase4b;phase5,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/agent_restructure_phase3c/security_boundary.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;sec_alerts;risk_rules,HIGH,phase3c;phase4;phase5,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;sec_alerts,HIGH,phase3c;phase4b;phase5,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
03_research/company_memos_phase2f/IOT_company_memo.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e;phase2e1;phase2f,no,no,yes,no,yes,
03_research/company_memos_phase2f/RBRK_company_memo.md,ARCHIVE_EVIDENCE_AFTER_APPROVAL,"Historical phase artifact should be preserved as evidence, not used as a Phase 5R dependency.",,LOW,phase2e;phase2e1;phase2f,no,no,yes,no,yes,
03_research/email_automation_phase5a/email_send_gate_policy.md,EXCLUDE_FROM_PHASE5R,"Email drafts, Gmail/OAuth plans, recipient allowlists, and preflight/send-gate work are out of scope for the manual-execution-only stock picker.",email_drafts;weekly_reviews,HIGH,phase5a,yes,no,yes,no,yes,No email sending or recipient automation dependency for Phase 5R. Phase 0B blocker waived because row is out of Phase 5R scope.
