source_file,referenced_path,resolved_path,status,source_scan_status
.gitignore,02_filings/sec_raw/*.json,02_filings/sec_raw/*.json,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
03_research/agent_restructure_phase3c/current_structure_audit.md,04_data/phase2p_*,04_data/phase2p_*,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
03_research/agent_restructure_phase3c/current_structure_audit.md,04_data/phase2q_*,04_data/phase2q_*,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
03_research/agent_restructure_phase3c/current_structure_audit.md,04_data/phase2r_*,04_data/phase2r_*,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,04_data/email_send_log.csv,04_data/email_send_log.csv,MISSING,text_path_reference_scan
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,04_data/latest_real_position_alerts.csv,04_data/latest_real_position_alerts.csv,MISSING,text_path_reference_scan
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,07_reviews/email_summary.html,07_reviews/email_summary.html,MISSING,text_path_reference_scan
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,07_reviews/email_summary.md,07_reviews/email_summary.md,MISSING,text_path_reference_scan
05_scripts/audit_phase3a_real_position_structure.py,03_research/paper_monitoring_phase2s/,03_research/paper_monitoring_phase2s,MISSING,text_path_reference_scan
05_scripts/audit_phase3c_agent_restructure.py,04_data/email_send_log.csv,04_data/email_send_log.csv,MISSING,text_path_reference_scan
05_scripts/audit_phase3c_agent_restructure.py,04_data/latest_real_position_alerts.csv,04_data/latest_real_position_alerts.csv,MISSING,text_path_reference_scan
05_scripts/audit_phase3c_agent_restructure.py,04_data/phase2p_*,04_data/phase2p_*,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
05_scripts/audit_phase3c_agent_restructure.py,04_data/phase2q_*,04_data/phase2q_*,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
05_scripts/audit_phase3c_agent_restructure.py,04_data/phase2r_*,04_data/phase2r_*,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
05_scripts/audit_phase3c_agent_restructure.py,07_reviews/email_summary.html,07_reviews/email_summary.html,MISSING,text_path_reference_scan
05_scripts/audit_phase3c_agent_restructure.py,07_reviews/email_summary.md,07_reviews/email_summary.md,MISSING,text_path_reference_scan
05_scripts/create_phase2j_scenario_peer_workpapers.py,03_research/company_memos_phase2f/{ticker}_company_memo.md,03_research/company_memos_phase2f/{ticker}_company_memo.md,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
05_scripts/create_phase2j_scenario_peer_workpapers.py,03_research/human_notes_synthesis_phase2i/{ticker}_synthesis.md,03_research/human_notes_synthesis_phase2i/{ticker}_synthesis.md,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
05_scripts/create_phase2j_scenario_peer_workpapers.py,03_research/manual_filing_review_phase2h/{ticker}_manual_filing_review.md,03_research/manual_filing_review_phase2h/{ticker}_manual_filing_review.md,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
05_scripts/create_phase2j_scenario_peer_workpapers.py,03_research/red_team_phase2f/{ticker}_red_team.md,03_research/red_team_phase2f/{ticker}_red_team.md,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
07_reviews/phase2d_gpt_packet_report.md,02_filings/filing_notes/{TICKER}_filing_note.md,02_filings/filing_notes/{TICKER}_filing_note.md,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
07_reviews/phase2d_gpt_packet_report.md,02_filings/sec_raw/{TICKER}_submissions.json,02_filings/sec_raw/{TICKER}_submissions.json,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
07_reviews/phase2e1_market_8k_dilution_report_after_filled_data.md,03_research/triage_notes_phase2e1/{TICKER}_phase2e1_note.md,03_research/triage_notes_phase2e1/{TICKER}_phase2e1_note.md,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
07_reviews/phase2e_financial_enrichment_report.md,03_research/triage_notes/{TICKER}_triage_note.md,03_research/triage_notes/{TICKER}_triage_note.md,PLACEHOLDER_OR_GLOB_NOT_VALIDATED,text_path_reference_scan;not_counted_as_broken_path
07_reviews/phase2o_paper_execution_readiness_report.md,04_data/phase2o_manual_chart_review_template.csv,04_data/phase2o_manual_chart_review_template.csv,MISSING,text_path_reference_scan
07_reviews/phase2q_paper_execution_decision_report.md,04_data/phase2q_manual_execution_inputs_template.csv,04_data/phase2q_manual_execution_inputs_template.csv,MISSING,text_path_reference_scan
07_reviews/phase3a_real_position_structure_audit_report.md,03_research/paper_monitoring_phase2s/,03_research/paper_monitoring_phase2s,MISSING,text_path_reference_scan
