relative_path,touch_categories,classification,sensitivity,reason,phase_tokens,no_action_in_phase0a
.gitignore,email_drafts,KEEP,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",,TRUE
00_rules/brokerage_boundary.md,trade_logs,KEEP,HIGH,"touches trade log, execution log, or trade journal data",,TRUE
00_rules/manual_approval_policy.md,risk_rules,KEEP,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
00_rules/risk_policy.md,risk_rules,KEEP,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
00_rules/trading_checklist.md,risk_rules,KEEP,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
01_universe/phase2b_candidate_source_log.md,risk_rules,MIGRATE,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",phase2b,TRUE
03_research/agent_restructure_phase3c/current_structure_audit.md,real_positions;risk_rules;email_drafts;weekly_reviews;trade_logs,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches weekly review/reporting workflow; touches trade log, execution log, or trade journal data",phase0;phase2;phase2n;phase2p;phase2q;phase2r;phase3;phase3a;phase3b;phase3c,TRUE
03_research/agent_restructure_phase3c/proposed_real_monitoring_architecture.md,real_positions;risk_rules;email_drafts;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"mentions or stores real position workflow data; contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase3;phase3b;phase3c;phase4;phase4b;phase5,TRUE
03_research/agent_restructure_phase3c/security_boundary.md,risk_rules;email_drafts;sec_alerts,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs",phase3c;phase4;phase5,TRUE
03_research/agent_restructure_phase3c/weekly_email_agent_spec.md,email_drafts;sec_alerts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs",phase3c;phase4b;phase5,TRUE
03_research/company_memo_template.md,risk_rules,KEEP,MEDIUM,"contains risk policy, checklist, sizing, or risk calculator material",,TRUE
03_research/email_automation_phase5a/email_send_gate_policy.md,email_drafts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches weekly review/reporting workflow",phase5a,TRUE
03_research/email_automation_phase5a/failure_handling_plan.md,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase5a,TRUE
03_research/email_automation_phase5a/gmail_dry_run_plan.md,email_drafts;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase5a;phase5b;phase5c;phase5d;phase5e;phase5f,TRUE
03_research/email_automation_phase5a/oauth_security_plan.md,email_drafts,NEEDS_HUMAN_REVIEW,HIGH,"touches email draft, recipient, Gmail/OAuth, or email preflight flow",phase5a,TRUE
03_research/email_draft_agent_phase4b/weekly_email_draft.html,risk_rules;email_drafts;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase4b,TRUE
03_research/email_draft_agent_phase4b/weekly_email_draft.md,risk_rules;email_drafts;sec_alerts;weekly_reviews,NEEDS_HUMAN_REVIEW,HIGH,"contains risk policy, checklist, sizing, or risk calculator material; touches email draft, recipient, Gmail/OAuth, or email preflight flow; touches SEC filing alert logic or alert outputs; touches weekly review/reporting workflow",phase4b,TRUE
