timestamp,script_name,action,input_path,output_path,status,safety_notes
2026-07-09T13:22:16-05:00,run_phase5r_b2_full_universe_market_data.py,benchmark_smoke_test,QQQ;XLK;SPY,in_memory_preflight_only,passed,read_only_public_market_data=yes; canonical_universe_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no; sequence=1; full_universe_fetch_not_started_before_this_check
2026-07-09T13:22:29-05:00,run_phase5r_b2_full_universe_market_data.py,full_universe_market_data_refresh,03_source_data/phase5r/phase5r_universe_seed.csv,03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv,complete,read_only_public_market_data=yes; canonical_universe_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no; sequence=2; smoke_test_passed=yes
2026-07-09T13:22:29-05:00,run_phase5r_b2_full_universe_market_data.py,write_b2_market_data_outputs,03_source_data/phase5r/phase5r_universe_seed.csv,03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv;03_source_data/phase5r/phase5r_b2_market_data_quality_report.csv;03_source_data/phase5r/phase5r_b2_candidates_with_market_data.csv;00_project_control/phase5r_b2_data_source_decision.md;04_research/realtime_stock_picker_phase5r/phase5r_b2_data_report.md,complete,read_only_public_market_data=yes; canonical_universe_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no; rows=27; smoke_test_passed=yes
2026-07-09T13:22:32-05:00,score_phase5r_b2_candidates.py,score_phase5r_b2_candidates,03_source_data/phase5r/phase5r_b2_candidates_with_market_data.csv,03_source_data/phase5r/phase5r_b2_signal_scores.csv;08_reviews/current/latest_phase5r_b2_daily_research_preview.md;08_reviews/current/latest_phase5r_b2_watchlist.md,complete,read_only_scoring=yes; manual_execution_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no
2026-07-09T13:22:34-05:00,create_phase5r_b2_manual_trade_tickets.py,create_phase5r_b2_manual_trade_tickets,03_source_data/phase5r/phase5r_b2_signal_scores.csv;03_source_data/phase5r/phase5r_universe_seed.csv,03_source_data/phase5r/phase5r_b2_manual_trade_tickets.csv;08_reviews/current/latest_phase5r_b2_manual_trade_tickets.md,complete,manual_tickets_only=yes; manual_confirmation_required=yes; broker_connection_allowed=no; real_order_allowed_by_script=no; old_holding_data_used=no; no_email=yes; archived_legacy_used=no
2026-07-09T13:22:37-05:00,verify_phase5r_b2_read_only_boundary.py,verify_phase5r_b2_read_only_boundary,phase5r_b2 outputs,00_project_control/phase5r_b2_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_b2_verification_report.md,complete,verification_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no
2026-07-09T14:51:07-05:00,run_phase5r_b2_full_universe_market_data.py,benchmark_smoke_test,QQQ;XLK;SPY,in_memory_preflight_only,passed,read_only_public_market_data=yes; canonical_universe_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no; sequence=1; full_universe_fetch_not_started_before_this_check
2026-07-09T14:51:15-05:00,run_phase5r_b2_full_universe_market_data.py,full_universe_market_data_refresh,03_source_data/phase5r/phase5r_universe_seed.csv,03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv,complete,read_only_public_market_data=yes; canonical_universe_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no; sequence=2; smoke_test_passed=yes
2026-07-09T14:51:15-05:00,run_phase5r_b2_full_universe_market_data.py,write_b2_market_data_outputs,03_source_data/phase5r/phase5r_universe_seed.csv,03_source_data/phase5r/phase5r_b2_market_data_snapshot.csv;03_source_data/phase5r/phase5r_b2_market_data_quality_report.csv;03_source_data/phase5r/phase5r_b2_candidates_with_market_data.csv;00_project_control/phase5r_b2_data_source_decision.md;04_research/realtime_stock_picker_phase5r/phase5r_b2_data_report.md,complete,read_only_public_market_data=yes; canonical_universe_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no; rows=27; smoke_test_passed=yes
2026-07-09T14:51:15-05:00,score_phase5r_b2_candidates.py,score_phase5r_b2_candidates,03_source_data/phase5r/phase5r_b2_candidates_with_market_data.csv,03_source_data/phase5r/phase5r_b2_signal_scores.csv;08_reviews/current/latest_phase5r_b2_daily_research_preview.md;08_reviews/current/latest_phase5r_b2_watchlist.md,complete,read_only_scoring=yes; manual_execution_only=yes; no_broker=yes; no_orders=yes; no_email=yes; no_credentials=yes; archived_legacy_used=no
