timestamp,phase,action,input_path,output_paths,status,account_value_usd,position_rows,schema_valid,total_position_pct,cash_reserve_pct,active_sleeve_status,hard_cap_breach_count,email_sent,scheduler_used,broker_used,smtp_config_modified,archived_legacy_used,safety_notes
2026-07-09T15:41:45-05:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-09T15:41:51-05:00,phase5r_c4r,verify_current_position_intake,05_risk_and_positions/current_positions.local.csv,00_project_control/phase5r_c4r_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_verification_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; source_unchanged=yes; reports_sanitized=yes; manual_review_only=yes; phase5r_c5_created=no
2026-07-09T15:42:31-05:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-09T15:42:34-05:00,phase5r_c4r,verify_current_position_intake,05_risk_and_positions/current_positions.local.csv,00_project_control/phase5r_c4r_verification_report.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_verification_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; source_unchanged=yes; reports_sanitized=yes; manual_review_only=yes; phase5r_c5_created=no
2026-07-09T16:31:22-05:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-09T16:32:23-05:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-09T16:32:40-05:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-09T16:35:37-05:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-17T15:31:57-04:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-17T15:59:41-04:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
2026-07-18T17:58:40-04:00,phase5r_c4r,refresh_current_position_intake,05_risk_and_positions/current_positions.local.csv,05_risk_and_positions/phase5r_c4r_current_position_validation.csv;05_risk_and_positions/phase5r_c4r_portfolio_concentration_report.csv;05_risk_and_positions/phase5r_c4r_position_review_queue.csv;05_risk_and_positions/phase5r_c4r_current_portfolio_summary.md;04_research/realtime_stock_picker_phase5r/phase5r_c4r_position_intake_report.md,complete,1000.00,2,yes,47.34,52.66,above_target,2,no,no,no,no,no,local_positions_only=yes; reports_sanitized=yes; manual_review_only=yes; order_code=no; phase5r_c5_created=no
