ticker,company_name,sector,industry,theme,liquidity_tier,volatility_tier,is_benchmark,max_position_pct,last_price,previous_close,intraday_change_pct,volume,average_volume,relative_volume,dollar_volume,day_high,day_low,fifty_two_week_high,fifty_two_week_low,market_session_date,market_age_calendar_days,data_timestamp,data_source,data_quality_label,market_data_usable,candidate_note
NVDA,NVIDIA Corporation,Technology,Semiconductors,AI infrastructure,mega,high,no,4.0,211.9400,206.6400,2.5648,130429698,129503105,1.0072,27643270513,213.0600,209.0500,236.5400,164.0700,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
AMD,Advanced Micro Devices,Technology,Semiconductors,AI infrastructure,large,high,no,3.5,518.5800,484.6400,7.0031,37266340,27992417,1.3313,19325579234,530.1300,502.2000,584.7300,149.2200,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
AVGO,Broadcom Inc.,Technology,Semiconductors,AI infrastructure,mega,medium,no,4.0,418.1600,392.2300,6.6109,28050687,20424404,1.3734,11729675379,422.0650,400.6800,495.0000,281.8700,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
TSM,Taiwan Semiconductor Manufacturing Company,Technology,Semiconductors,AI infrastructure,mega,medium,no,3.0,417.1700,406.1100,2.7234,12339502,14950670,0.8253,5147670215,420.2500,412.1100,479.0000,223.7000,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
ASML,ASML Holding,Technology,Semiconductor Equipment,Semiconductors,large,medium,no,3.0,1711.8900,1642.5200,4.2234,1522531,1973737,0.7714,2606405616,1717.5000,1686.0100,1999.9600,684.2400,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
ARM,Arm Holdings,Technology,Semiconductors,AI infrastructure,large,high,no,2.5,280.5600,239.0600,17.3597,9577670,6454858,1.4838,2687111072,283.2485,251.1000,452.7000,100.0200,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
MU,Micron Technology,Technology,Memory Semiconductors,AI infrastructure,large,high,no,2.5,892.6700,829.5000,7.6154,35997655,46071503,0.7813,32134026074,902.4299,858.5000,1255.0000,106.7500,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
SMCI,Super Micro Computer,Technology,Computer Hardware,Data centers,large,very_high,no,2.0,31.6900,28.6400,10.6494,52445555,43687243,1.2005,1661999666,31.8400,29.0700,59.4000,19.4800,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
VRT,Vertiv Holdings,Industrials,Electrical Equipment,Data centers,large,high,no,2.5,269.9300,263.0500,2.6155,5787315,6270521,0.9229,1562169896,276.5201,268.1320,379.9350,118.7000,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
EQIX,Equinix,Real Estate,Data Center REIT,Data centers,large,medium,no,2.5,1051.5300,1031.4399,1.9478,732053,546523,1.3395,769775713,1055.9000,1011.2950,1128.6801,720.6200,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
DLR,Digital Realty Trust,Real Estate,Data Center REIT,Data centers,large,medium,no,2.0,193.8900,191.2200,1.3963,2306068,3047318,0.7568,447123523,195.0600,189.0100,208.1400,146.2300,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
MSFT,Microsoft Corporation,Technology,Cloud Software,Cloud software,mega,low,no,5.0,492.8100,487.6500,1.0581,49565875,38886464,1.2746,24426558738,499.4399,479.1700,553.7200,349.2000,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
GOOGL,Alphabet Inc.,Communication Services,Internet Content,AI infrastructure,mega,medium,no,4.0,377.6500,373.5100,1.1084,35493839,31175747,1.1385,13404248082,380.5200,367.5400,408.6100,193.6700,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
AMZN,Amazon.com Inc.,Consumer Discretionary,Cloud and E-commerce,Cloud software,mega,medium,no,4.0,277.4200,284.0200,-2.3238,69522809,49537990,1.4034,19287018606,281.0700,275.8200,287.2000,196.0000,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
META,Meta Platforms,Communication Services,Internet Content,AI infrastructure,mega,medium,no,4.0,587.9400,590.2400,-0.3897,16729236,19331547,0.8654,9835787055,592.7870,578.2500,796.2500,520.2600,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
ORCL,Oracle Corporation,Technology,Cloud Software,Cloud software,large,medium,no,3.0,145.7400,141.8500,2.7423,36501127,38741741,0.9422,5319674449,148.7000,141.0300,345.7200,114.5000,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
NOW,ServiceNow,Technology,Application Software,Cloud software,large,medium,no,3.0,118.1400,114.1900,3.4591,19191259,24656138,0.7784,2267255327,118.3300,112.0000,194.7260,81.2400,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
CRM,Salesforce,Technology,Application Software,Cloud software,large,medium,no,2.5,190.9900,185.9500,2.7104,8787984,12671554,0.6935,1678417112,191.2850,183.0000,269.1100,146.3200,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
SNOW,Snowflake,Technology,Data Platform Software,Cloud software,large,high,no,2.0,316.7700,307.5300,3.0046,5020522,4865526,1.0319,1590350699,321.3100,301.9014,321.3100,118.3000,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
DDOG,Datadog,Technology,Observability Software,Cloud software,large,high,no,2.0,288.1500,273.6000,5.3180,4802028,4162631,1.1536,1383704339,289.9000,271.6000,289.9000,98.0100,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
NET,Cloudflare,Technology,Edge Cloud Software,Cybersecurity,large,high,no,2.0,301.3300,282.7400,6.5749,4772274,3027864,1.5761,1438029260,303.7500,278.5100,303.7500,158.8300,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
CRWD,CrowdStrike,Technology,Cybersecurity,Cybersecurity,large,high,no,2.0,211.2200,202.5400,4.2856,8214387,8378194,0.9804,1735042832,212.6400,203.5000,217.5000,85.6800,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
PANW,Palo Alto Networks,Technology,Cybersecurity,Cybersecurity,large,medium,no,2.5,366.3400,347.1300,5.5339,8169509,6479275,1.2609,2992817897,367.4900,349.0700,368.8000,139.5700,2026-08-04,1,2026-08-05T06:11:13+08:00,yfinance_public_market_data,ok,yes,daily public data attached
