ticker,action_label,entry_zone_reference,invalidation_reference,stop_reference,take_profit_reference,suggested_position_pct,max_loss_pct_of_account,reason,risks,manual_confirmation_required,broker_connection_allowed,real_order_allowed_by_script,old_holding_data_used
ARM,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure daily research score 6.21 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
ORCL,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cloud software daily research score 6.06 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
PANW,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cybersecurity daily research score 6.01 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
ZS,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cybersecurity daily research score 5.70 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
AVGO,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure daily research score 5.65 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
NET,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Cybersecurity daily research score 5.62 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
EQIX,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Data centers daily research score 5.60 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
MU,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,AI infrastructure daily research score 5.44 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
SPY,watch,Watch only; require a later independent review before any manual action.,Remove from watch if the daily score or data quality deteriorates.,Not applicable while watch-only.,Not applicable while watch-only.,0.00,0.00,Benchmark ETF daily research score 5.32 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; low volatility tier; independent human review is required.,yes,no,no,no
AMD,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure daily research score 5.20 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; high volatility tier; independent human review is required.,yes,no,no,no
TSM,avoid,No entry; daily research score is below the manual-review threshold.,Not applicable.,Not applicable.,Not applicable.,0.00,0.00,AI infrastructure daily research score 5.20 using yfinance_public_market_data with ok quality.,Public data may be delayed or incomplete; medium volatility tier; independent human review is required.,yes,no,no,no
