ticker,data_source,data_quality_label,missing_fields,usable_for_scoring,notes
NVDA,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
AMD,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
AVGO,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
TSM,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
ASML,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
ARM,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
MU,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
SMCI,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
VRT,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
EQIX,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
DLR,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
MSFT,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
GOOGL,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
AMZN,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
META,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
ORCL,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
NOW,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
CRM,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
SNOW,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
DDOG,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
NET,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
CRWD,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
PANW,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
ZS,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
QQQ,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
XLK,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
SPY,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
IOT,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
RBRK,yfinance_rate_limit_circuit_open,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,data unavailable; preserved as insufficient_data without invented values
