ticker,last_price,previous_close,intraday_change_pct,volume,average_volume,relative_volume,dollar_volume,day_high,day_low,fifty_two_week_high,fifty_two_week_low,market_session_date,market_age_calendar_days,data_timestamp,data_source,data_quality_label
NVDA,206.8400,208.7600,-0.9197,110844026,131905086,0.8403,22926977932,211.9099,204.8100,236.5400,164.0700,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
AMD,521.9500,539.6900,-3.2871,27087296,28212910,0.9601,14138214478,549.0000,518.0100,584.7300,149.2200,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
AVGO,381.9200,392.4700,-2.6881,13948973,22222544,0.6277,5327391955,389.2700,378.7500,495.0000,281.6100,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
TSM,403.4100,415.5800,-2.9284,11485132,14957222,0.7679,4633217142,412.8800,400.8001,479.0000,223.7000,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
ASML,1757.0900,1803.0000,-2.5463,1312955,2013613,0.6520,2306980056,1797.8700,1739.8800,1999.9600,683.4800,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
ARM,260.0100,283.0400,-8.1367,4858295,6031480,0.8055,1263205330,288.9899,258.4300,452.7000,100.0200,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
MU,920.9500,990.2100,-6.9945,40289721,46880091,0.8594,37104819047,967.1255,904.0000,1255.0000,103.3800,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
SMCI,30.1000,31.2000,-3.5256,48415205,48496850,0.9983,1457297689,31.3300,29.2800,62.3600,19.4800,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
VRT,290.3600,304.0400,-4.4994,2940911,5542811,0.5306,853922875,302.4900,288.5500,379.9350,118.7000,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
EQIX,1084.2400,1033.5500,4.9044,752365,569803,1.3204,815744220,1104.9900,1055.6000,1128.6801,720.6200,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
DLR,199.0800,179.3400,11.0070,10741889,4143119,2.5927,2138495282,207.4300,189.8600,208.1400,146.2300,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
MSFT,381.7000,381.5800,0.0315,27544509,40947045,0.6727,10513739422,389.0300,380.6500,555.4500,349.2000,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
GOOGL,319.7400,317.6900,0.6453,31306769,33726523,0.9283,10010026014,324.1800,317.3300,408.6100,187.8200,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
AMZN,232.1100,233.6600,-0.6634,33836532,52438612,0.6453,7853797463,234.9500,231.3500,278.5600,196.0000,2026-07-24,0,2026-07-24T23:21:09-04:00,yfinance_public_market_data,ok
