rank,ticker,company_name,theme,last_price,intraday_change_pct,relative_volume,dollar_volume,trend_score,volume_score,catalyst_score,quality_score,risk_penalty,total_score,action_label,data_source,data_quality_label,formula_version,score_explanation
1,AMD,Advanced Micro Devices,AI infrastructure,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
2,AMZN,Amazon.com Inc.,Cloud software,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
3,ARM,Arm Holdings,AI infrastructure,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
4,ASML,ASML Holding,Semiconductors,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
5,AVGO,Broadcom Inc.,AI infrastructure,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
6,CRM,Salesforce,Cloud software,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
7,CRWD,CrowdStrike,Cybersecurity,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
8,DDOG,Datadog,Cloud software,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
9,DLR,Digital Realty Trust,Data centers,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
10,EQIX,Equinix,Data centers,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
11,GOOGL,Alphabet Inc.,AI infrastructure,,,,,,,,,,0.00,insufficient_data,yfinance_smoke_test_failed,insufficient_data,phase5r_b2_daily_read_only_v1,Incomplete public market data; no scoreable signal produced.
