detected_at,cycle_date,ticker,cik,form,filing_date,accession_number,items,primary_document,source_url,metadata_sha256,is_new,baseline_record,materiality,material_event,review_required
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,20-F,2026-05-26,0001973239-26-000097,,arm-20260331.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000097/arm-20260331.htm,442f54c218a82eea747ad95d5f081b17059266d4b1403b4a8e99660d3ddb5e1f,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2026-05-06,0001973239-26-000062,,arm-20260506.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000062/arm-20260506.htm,dfec44ed829ef68ca839e766627a6abbc7e577281e8515673334d5cda80b110e,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2026-04-21,0001973239-26-000059,,arm-20260421.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000059/arm-20260421.htm,872da7f27a938bdbfcfd8c146b467e0678859d88c0cc4681bf9a5814da0c4aa0,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2026-03-24,0001973239-26-000052,,arm-20260324.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000052/arm-20260324.htm,39a0ca780b4ddc99f65a1cdc75595e7f45f20fac38bf4a7c2fe715262f92329c,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2026-03-24,0001973239-26-000050,,arm-20260324.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000050/arm-20260324.htm,eccc5e593f72f9d85916f2356ab1a77b895ed6bcff84c0d2f3f54f8bd94ac38d,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2026-02-04,0001973239-26-000006,,arm-20251231.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000006/arm-20251231.htm,8650608694fb2a0ea2b73f152562e9caf5f4820a229d4d19e2dfd47e7cbf806d,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2026-02-04,0001973239-26-000005,,arm-20260204.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323926000005/arm-20260204.htm,94d917095000273ee926c47c070e4889391f517b2641d6a2bd5c140ec5601ab3,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-11-05,0001973239-25-000043,,arm-20250930.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000043/arm-20250930.htm,741cd263539a663608b902483dece50794324b439473fa4f7d94339421967c90,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-11-05,0001973239-25-000042,,arm-20251105.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000042/arm-20251105.htm,fe825bb1291714b0299d233c5770ff4d16101787235051927e748c9acf6d4a84,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-09-18,0001973239-25-000035,,arm-20250918.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000035/arm-20250918.htm,5dd522cfe7f600ce713dea52ae6fa96d89e4b9d1d5d15a326e156f2283e42ff9,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-09-10,0001973239-25-000033,,arm-20250908.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000033/arm-20250908.htm,bb7ec5024666d9b6c811655e16e20e60d6a8c5cc58deb6689d344b91ea9af5b8,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-08-11,0001973239-25-000027,,arm-20250811.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000027/arm-20250811.htm,262ec96ae79134c6baa8c4902c71ba0bbdbcfb31a67337c5fc9ec825ef75a0f8,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-07-30,0001973239-25-000024,,arm-20250630.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000024/arm-20250630.htm,6a51ffb7f9fd469ed4e1726ea4d422a4479be60e4bd802d3fcf01ff5f9d0824d,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-07-30,0001973239-25-000023,,arm-20250730.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000023/arm-20250730.htm,069897c07d6c9f22a8ad587912e5a3e8240a0cce8bdc8e94f26ad090da63b210,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,20-F,2025-05-28,0001973239-25-000016,,arm-20250331.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000016/arm-20250331.htm,23e9a771e969cd94046f44e021a8dec8016552d3f3c74ce2264b0330821b30eb,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-05-07,0001973239-25-000010,,arm-20250507.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000010/arm-20250507.htm,3d53d069902b5f0c01d464474d1c072d72cd6e526ea093d84716d8f479b3bdb8,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-02-05,0001973239-25-000007,,arm-20241231.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000007/arm-20241231.htm,74a7fa7b1b5bb57976ec326fe3eb2e7a4af2a1ecd5720062c28145d8fb69033d,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2025-02-05,0001973239-25-000006,,arm-20250205.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000006/arm-20250205.htm,a21adfc96861429f73d1e0e1a21fd7763dd616b5075bd5191890fccb13f95027,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-11-07,0001973239-24-000040,,arm-20240930.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000040/arm-20240930.htm,ee7457b242ce90d9b244d53e7ca570106e93b109727b1462bf9094fca4a4f244,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-11-07,0001973239-24-000038,,arm-20241107.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000038/arm-20241107.htm,7ed210568f03e995445c0ec57b8d2f31c8c7dec200f3cb3d7289d2ab23182d75,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-11-06,0001973239-24-000036,,arm-20241106.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000036/arm-20241106.htm,f67b986e68a7fe72eab4d9e83ac4963b87721a71b6d242cbdb048563315f5c94,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-09-12,0001973239-24-000029,,arm-20240912.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000029/arm-20240912.htm,ffa8cda9c07ac1a51adfa2c8f7991f199455f7075d3d6392fca334b4eaec8c7d,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-08-12,0001193125-24-199006,,d878603d6k.htm,https://www.sec.gov/Archives/edgar/data/1973239/000119312524199006/d878603d6k.htm,2356c9135f670d54bce194c2bb6dad01f81f09e2b2bafd1e59670347307397eb,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-08-01,0001973239-24-000019,,arm-20240630.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000019/arm-20240630.htm,5e3fb3f2f9bf8d71c83f3021f22a2337ffae15f960496baa593fd19a99e9a83c,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-07-31,0001973239-24-000017,,arm-20240731.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000017/arm-20240731.htm,216ba23a9faeef18d90452c8297da53dc4a97639777407a7636d5a3e8b7d9548,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,20-F,2024-05-29,0001973239-24-000012,,arm-20240331.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000012/arm-20240331.htm,293cd7490e7fbd9df5488b98a5aac2bf0072a9e6838236497d8893c4e73e29ec,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-05-08,0001973239-24-000007,,arm-20240508.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000007/arm-20240508.htm,7a231b84b7ea9ae0f9350d69a1bf93aea991e0ef8024a1f57ae68c3ff9b65079,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-02-08,0001973239-24-000004,,arm-20231231.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000004/arm-20231231.htm,f270d471b540254bcc5947ef56b872393cc28c7b592c4ce245f0033180b21373,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2024-02-07,0001973239-24-000002,,arm-20240207.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323924000002/arm-20240207.htm,bcdf6bf6d39b8f7b22c6f900266a5e52ef88a1cc2e530c8944425bda5d1a4d17,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2023-11-13,0001973239-23-000014,,arm-20231113.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323923000014/arm-20231113.htm,48583b48211fcee49db73180cadf7e8a5e38ce23f5c06f0c0dcc4d1177868d98,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2023-11-09,0001973239-23-000011,,arm-20230930.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323923000011/arm-20230930.htm,c70338a20e80e077efc6a7409a07aa5fc5372432a3db117dca99649ed2eb0e7b,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,6-K,2023-11-08,0001973239-23-000009,,arm-20231108.htm,https://www.sec.gov/Archives/edgar/data/1973239/000197323923000009/arm-20231108.htm,53276982669a79485e978fa9913e3a13f5eecc2aad971eaef4dac33d90c1f7b5,no,yes,medium,no,no
2026-07-23T23:51:39-04:00,2026-07-23,ARM,1973239,424B4,2023-09-14,0001193125-23-235320,,d550931d424b4.htm,https://www.sec.gov/Archives/edgar/data/1973239/000119312523235320/d550931d424b4.htm,f7a1440a5e2a1377b974a49758768dce1864b6542a237d0a39fbe3215a82fc78,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,8-K,2026-07-06,0001193125-26-295589,8.01,d84378d8k.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526295589/d84378d8k.htm,98b215351174e608d923a7d4813057e8496b194c7cf9fa2acd735d96117cbaa7,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,8-K,2026-06-18,0001193125-26-275077,"8.01,9.01",d149683d8k.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526275077/d149683d8k.htm,5411023477d4fa463dbd064f1ecd8390c6d20725c7ca8910dc3fbbccd9abbd05,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,424B3,2026-06-17,0001193125-26-274187,,d227938d424b3.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526274187/d227938d424b3.htm,5d663e10cec7aacb5e79345b78684f32816625722dc03b947dac6b371213386c,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,424B3,2026-06-17,0001193125-26-274169,,d227941d424b3.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526274169/d227941d424b3.htm,dbf4fe3baba42cf251c0678d987be6f27bfaebe85f2fd89f5807ed2dc89854af,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,8-K,2026-06-11,0001193125-26-266777,"8.01,9.01",d152717d8k.htm,https://www.sec.gov/Archives/edgar/data/1730168/000119312526266777/d152717d8k.htm,530ff7ea919ce8335e83276136ecb21bf38b94a783f313a606518c8ac9448b90,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,10-Q,2026-06-09,0001730168-26-000054,,avgo-20260503.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016826000054/avgo-20260503.htm,d21f6ef8d64f0e17d560e9c2eacfcfff6b903093a622d19fd5739245ede486ff,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,8-K,2026-06-03,0001730168-26-000051,"2.02,8.01,9.01",avgo-20260603.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016826000051/avgo-20260603.htm,5c718e22ce68d873dc8a0cda49038e16998b0238ae9fd3e35755e94e958f8ed6,no,yes,high,no,no
2026-07-23T23:51:39-04:00,2026-07-23,AVGO,1730168,8-K,2026-04-21,0001730168-26-000039,5.07,avgo-20260420.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016826000039/avgo-20260420.htm,0dc93f0f165f515778298462c4b4896ad3cab9aede88134f6491fdab8d7516b1,no,yes,medium,no,no
