duplicate_group_id,duplicate_type,relative_path,size_bytes,sha256,recommended_action,notes
EXACT_001,EXACT_SHA256,06_trading/paper_trades.csv,279,caa482405a690d84125a17c6c92cb28d2c231ebde46b696a2f971a4f6af68e3f,Review for archive/delete candidate only in a later approved cleanup phase.,"Exact content match among hashed non-.env, non-.git files."
EXACT_001,EXACT_SHA256,06_trading/real_trades.csv,279,caa482405a690d84125a17c6c92cb28d2c231ebde46b696a2f971a4f6af68e3f,Review for archive/delete candidate only in a later approved cleanup phase.,"Exact content match among hashed non-.env, non-.git files."
EXACT_001,EXACT_SHA256,06_trading/trade_journal.csv,279,caa482405a690d84125a17c6c92cb28d2c231ebde46b696a2f971a4f6af68e3f,Review for archive/delete candidate only in a later approved cleanup phase.,"Exact content match among hashed non-.env, non-.git files."
EXACT_002,EXACT_SHA256,03_research/manual_filing_review_phase2h/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,Review for archive/delete candidate only in a later approved cleanup phase.,"Exact content match among hashed non-.env, non-.git files."
EXACT_002,EXACT_SHA256,07_reviews/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,Review for archive/delete candidate only in a later approved cleanup phase.,"Exact content match among hashed non-.env, non-.git files."
EXACT_003,EXACT_SHA256,04_data/phase2e1_manual_market_data_filled.csv,6142,365c169aea2df018a17386037927a03e864078b0e94421399ab6d303107f35ce,Review for archive/delete candidate only in a later approved cleanup phase.,"Exact content match among hashed non-.env, non-.git files."
EXACT_003,EXACT_SHA256,04_data/phase2e1_manual_market_data_validated.csv,6142,365c169aea2df018a17386037927a03e864078b0e94421399ab6d303107f35ce,Review for archive/delete candidate only in a later approved cleanup phase.,"Exact content match among hashed non-.env, non-.git files."
NAME_001,SAME_BASENAME,.DS_Store,14340,8ee57713e99a01097241c28f01f3ba278dccf4dc6ab5bd8f627b0359f29f1bb8,Check for intentional phase variant versus stale duplicate.,Shares basename .DS_Store with 4 other project file(s).
NAME_001,SAME_BASENAME,03_research/.DS_Store,8196,02d9649edb93343fa8d9c194743194943e6bc7e68391926aa7624f39abe2608a,Check for intentional phase variant versus stale duplicate.,Shares basename .DS_Store with 4 other project file(s).
NAME_001,SAME_BASENAME,03_research/manual_filing_review_phase2h/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,Check for intentional phase variant versus stale duplicate.,Shares basename .DS_Store with 4 other project file(s).
NAME_001,SAME_BASENAME,04_data/.DS_Store,14340,bfe158f731a8607c7802b0964201682576a717e6b523b171473f046b0bb83c49,Check for intentional phase variant versus stale duplicate.,Shares basename .DS_Store with 4 other project file(s).
NAME_001,SAME_BASENAME,07_reviews/.DS_Store,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,Check for intentional phase variant versus stale duplicate.,Shares basename .DS_Store with 4 other project file(s).
NAME_002,SAME_BASENAME,00_rules/source_policy.md,1546,7ebee15ee40b79cc10f3fac4d647ca8d20f8b0f088503c30aa7ec6330ed394b1,Check for intentional phase variant versus stale duplicate.,Shares basename source_policy.md with 1 other project file(s).
NAME_002,SAME_BASENAME,skills/early-public-equity-research/references/source_policy.md,1509,b04fd03309c8d3212d3104ef74a71df336b69e8ca9fb04e2b12d95388f3078f0,Check for intentional phase variant versus stale duplicate.,Shares basename source_policy.md with 1 other project file(s).
