dependency_id,dependency_type,relative_path,workflow,phase5r_dependency_scope,manual_execution_safe,broker_connectivity_allowed,order_execution_allowed,old_iot_rbrk_holding_data_allowed,human_review_required_before_use,source_decision,notes
P5R-001,policy_control,00_rules/brokerage_boundary.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_POLICY_CONTROL,Governance control for manual-execution-only Phase 5R; keywords in the policy do not authorize broker connectivity or order execution.
P5R-002,policy_control,00_rules/data_source_policy.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_POLICY_CONTROL,Governance control for manual-execution-only Phase 5R; keywords in the policy do not authorize broker connectivity or order execution.
P5R-003,policy_control,00_rules/manual_approval_policy.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_POLICY_CONTROL,Governance control for manual-execution-only Phase 5R; keywords in the policy do not authorize broker connectivity or order execution.
P5R-004,policy_control,00_rules/risk_policy.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_POLICY_CONTROL,Governance control for manual-execution-only Phase 5R; keywords in the policy do not authorize broker connectivity or order execution.
P5R-005,policy_control,00_rules/source_policy.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_POLICY_CONTROL,Governance control for manual-execution-only Phase 5R; keywords in the policy do not authorize broker connectivity or order execution.
P5R-006,policy_control,00_rules/trading_checklist.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_POLICY_CONTROL,Governance control for manual-execution-only Phase 5R; keywords in the policy do not authorize broker connectivity or order execution.
P5R-007,project_control,.gitignore,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,Project-level control/documentation for Phase 5R planning and guardrails.
P5R-008,project_control,AGENTS.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,Project-level control/documentation for Phase 5R planning and guardrails.
P5R-009,project_control,README.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,Project-level control/documentation for Phase 5R planning and guardrails.
P5R-010,project_control,skills/early-public-equity-research/SKILL.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,"Project skill/reference control; usable for research discipline, not as a trading/execution workflow."
P5R-011,project_control,skills/early-public-equity-research/references/memo_rubric.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,"Project skill/reference control; usable for research discipline, not as a trading/execution workflow."
P5R-012,project_control,skills/early-public-equity-research/references/phase_status.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,"Project skill/reference control; usable for research discipline, not as a trading/execution workflow."
P5R-013,project_control,skills/early-public-equity-research/references/red_team_checklist.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,"Project skill/reference control; usable for research discipline, not as a trading/execution workflow."
P5R-014,project_control,skills/early-public-equity-research/references/source_policy.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,"Project skill/reference control; usable for research discipline, not as a trading/execution workflow."
P5R-015,project_control,skills/early-public-equity-research/references/workflow.md,,manual_execution_stock_selection_only,yes,no,no,no,no,KEEP_PROJECT_CONTROL,"Project skill/reference control; usable for research discipline, not as a trading/execution workflow."
P5R-016,candidate_source,01_universe/real_candidate_sources.md,,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,Candidate universe/source file can seed screening without using old holding data.
P5R-017,candidate_source,01_universe/real_candidate_universe.csv,,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,Candidate universe/source file can seed screening without using old holding data.
P5R-018,candidate_source,01_universe/universe.csv,,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,Candidate universe/source file can seed screening without using old holding data.
P5R-019,workflow_script,05_scripts/enrich_candidate_financials.py,financial_enrichment,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,Financial enrichment supports candidate evaluation and does not imply execution.
P5R-020,workflow_script,05_scripts/make_gpt_packet.py,gpt_packet_generation,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,GPT packet generation supports research context and does not imply execution.
P5R-021,workflow_script,05_scripts/screen_universe.py,candidate_universe_screening,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,Candidate universe screening is safe for Phase 5R stock selection and does not imply execution.
P5R-022,workflow_script,05_scripts/update_sec_filings.py,sec_filing_ingestion,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,"SEC filing ingestion is source-data collection, not broker/order activity."
P5R-023,workflow_script,05_scripts/validate_manual_market_data.py,manual_market_data_validation,manual_execution_stock_selection_only,yes,no,no,no,no,ALLOW_FOR_PHASE5R,Manual market data validation supports safe data hygiene for manual review.
