ticker,company_name,sector,industry,theme,liquidity_tier,volatility_tier,is_benchmark,max_position_pct,last_price,previous_close,intraday_change_pct,volume,average_volume,relative_volume,dollar_volume,day_high,day_low,fifty_two_week_high,fifty_two_week_low,data_timestamp,data_source,data_quality_label,market_data_usable,candidate_note
NVDA,NVIDIA Corporation,Technology,Semiconductors,AI infrastructure,mega,high,no,4.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
AMD,Advanced Micro Devices,Technology,Semiconductors,AI infrastructure,large,high,no,3.5,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
AVGO,Broadcom Inc.,Technology,Semiconductors,AI infrastructure,mega,medium,no,4.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
TSM,Taiwan Semiconductor Manufacturing Company,Technology,Semiconductors,AI infrastructure,mega,medium,no,3.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
ASML,ASML Holding,Technology,Semiconductor Equipment,Semiconductors,large,medium,no,3.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
ARM,Arm Holdings,Technology,Semiconductors,AI infrastructure,large,high,no,2.5,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
MU,Micron Technology,Technology,Memory Semiconductors,AI infrastructure,large,high,no,2.5,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
SMCI,Super Micro Computer,Technology,Computer Hardware,Data centers,large,very_high,no,2.0,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
VRT,Vertiv Holdings,Industrials,Electrical Equipment,Data centers,large,high,no,2.5,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
EQIX,Equinix,Real Estate,Data Center REIT,Data centers,large,medium,no,2.5,,,,,,,,,,,,2026-07-09T11:40:59-05:00,manual_csv_fallback_missing,insufficient_data,no,requires manual market data before scoring
