ticker,last_price,previous_close,intraday_change_pct,volume,average_volume,relative_volume,dollar_volume,day_high,day_low,fifty_two_week_high,fifty_two_week_low,data_timestamp,data_source,data_quality_label
NVDA,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
AMD,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
AVGO,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
TSM,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
ASML,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
ARM,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
MU,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
SMCI,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
VRT,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
EQIX,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
DLR,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
MSFT,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
GOOGL,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
AMZN,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
META,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
ORCL,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
NOW,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
CRM,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
SNOW,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
DDOG,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
NET,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
CRWD,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
PANW,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
ZS,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
QQQ,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
XLK,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
SPY,,,,,,,,,,,,,manual_csv_fallback,manual_fill_required
