ticker,data_source,data_quality_label,missing_fields,usable_for_scoring,notes
NVDA,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
AMD,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
AVGO,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
TSM,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
ASML,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
ARM,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
MU,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
SMCI,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
VRT,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
EQIX,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
DLR,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
MSFT,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
GOOGL,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
AMZN,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
META,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
ORCL,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
NOW,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
CRM,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
SNOW,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
DDOG,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
NET,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
CRWD,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
PANW,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
ZS,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
QQQ,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
XLK,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
SPY,manual_csv_fallback_missing,insufficient_data,last_price;previous_close;intraday_change_pct;volume;average_volume;relative_volume;dollar_volume,no,insufficient market data; no values invented
